miRNA,gene
hsa-miR-300_st,MID2
hsa-miR-300_st,NDUFAB1
hsa-miR-300_st,NFASC
hsa-miR-300_st,NUDT4
hsa-miR-300_st,OTUD3
hsa-miR-300_st,PBX1
hsa-miR-300_st,PCSK2
hsa-miR-300_st,PIK3C3
hsa-miR-300_st,PPM1D
hsa-miR-300_st,PTCHD3
hsa-miR-300_st,RAP1GDS1
hsa-miR-300_st,ATRN
hsa-miR-300_st,RIMKLB
hsa-miR-300_st,RNF144A
hsa-miR-300_st,RPL22
hsa-miR-300_st,RPL35A
hsa-miR-300_st,SELK
hsa-miR-300_st,SENP6
